Calascibetta comune,Calascibetta comune.1
,
Calascibetta – Veduta,Calascibetta – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Enna
Amministrazione,Amministrazione
Sindaco,Piero Antonio Santi Capizzi (Ind. di centrosinistra) dal 7-6-2016 (2º mandato dal 13-10-2021)
Territorio,Territorio
Coordinate,37°35′N 14°16′E
Altitudine,691 m s.l.m.
Superficie,"89,12 km²"
Abitanti,3 950[1] (30-11-2025)
Densità,"44,32 ab./km²"
Frazioni,Cacchiamo
Comuni confinanti,"Bompietro (PA), Enna, Gangi (PA), Leonforte, Nicosia, Villarosa"
Altre informazioni,Altre informazioni
Cod. postale,94010
Prefisso,0935
Fuso orario,UTC+1
Codice ISTAT,086005
Cod. catastale,B381
Targa,EN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 710 GG[3]"
Nome abitanti,calascibettesi/xibetani
Patrono,san Pietro in Vincoli
Giorno festivo,prima domenica di agosto
Cartografia,Cartografia
Calascibetta,Calascibetta
Calascibetta – MappaPosizione del comune di Calascibetta nel libero consorzio comunale di Enna,Calascibetta – MappaPosizione del comune di Calascibetta nel libero consorzio comunale di Enna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
