Nissoria comune,Nissoria comune.1
,
Nissoria – Veduta,Nissoria – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Enna
Amministrazione,Amministrazione
Sindaco,Rosario Colianni (FI) dal 13-6-2022
Territorio,Territorio
Coordinate,37°39′N 14°27′E
Altitudine,691 m s.l.m.
Superficie,"61,83 km²"
Abitanti,2 780[1] (30-11-2025)
Densità,"44,96 ab./km²"
Comuni confinanti,"Agira, Assoro, Gagliano Castelferrato, Leonforte, Nicosia"
Altre informazioni,Altre informazioni
Cod. postale,94010
Prefisso,0935
Fuso orario,UTC+1
Codice ISTAT,086013
Cod. catastale,F900
Targa,EN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 710 GG[3]"
Nome abitanti,nissorini
Patrono,san Giuseppe
Giorno festivo,prima domenica di agosto
Cartografia,Cartografia
Nissoria,Nissoria
Nissoria – MappaPosizione del comune di Nissoria nel libero consorzio comunale di Enna,Nissoria – MappaPosizione del comune di Nissoria nel libero consorzio comunale di Enna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
