Buseto Palizzolo comune,Buseto Palizzolo comune.1
,
Buseto Palizzolo – Veduta,Buseto Palizzolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Trapani
Amministrazione,Amministrazione
Sindaco,Francesco Poma (Lista civica Evoluzione Buseto) dal 29-05-2023
Territorio,Territorio
Coordinate,38°01′N 12°44′E
Altitudine,249 m s.l.m.
Superficie,"72,81 km²"
Abitanti,2 735[1] (30-11-2025)
Densità,"37,56 ab./km²"
Frazioni,"Badia, Baglio Portelli, Battaglia, Blandano, Bruca, Buseto Superiore, Case Pollina, Case Sciuto, Case Scuderi, Città Povera, Fazio, Luziano, Passo Casale, Pianoneve, Tangi"
Comuni confinanti,"Calatafimi Segesta, Castellammare del Golfo, Custonaci, Erice, Trapani, Valderice"
Altre informazioni,Altre informazioni
Cod. postale,91012
Prefisso,0923
Fuso orario,UTC+1
Codice ISTAT,081002
Cod. catastale,B288
Targa,TP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 086 GG[3]"
Nome abitanti,busetani
Patrono,Madonna del Carmelo
Giorno festivo,16 luglio
Cartografia,Cartografia
Buseto Palizzolo,Buseto Palizzolo
Buseto Palizzolo – MappaPosizione del comune di Buseto Palizzolo nel libero consorzio comunale di Trapani,Buseto Palizzolo – MappaPosizione del comune di Buseto Palizzolo nel libero consorzio comunale di Trapani
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
