Marradi comune,Marradi comune.1
,
Marradi – VedutaVeduta,Marradi – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Tommaso Triberti (centro-sinistra) dal 26-5-2013 (3ºmandato dal 15-5-2023)
Territorio,Territorio
Coordinate,44°05′N 11°37′E
Altitudine,328 m s.l.m.
Superficie,"154,07 km²"
Abitanti,2 808[1] (30-11-2025)
Densità,"18,23 ab./km²"
Frazioni,"Abeto, Badia del Borgo, Biforco, Campigno, Crespino del Lamone, Gamberaldi, Lutirano, Popolano, Sant'Adriano"
Comuni confinanti,"Borgo San Lorenzo, Brisighella (RA), Dicomano, Modigliana (FC), Palazzuolo sul Senio, Portico e San Benedetto (FC), San Godenzo, Tredozio (FC), Vicchio"
Altre informazioni,Altre informazioni
Cod. postale,50034
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,048026
Cod. catastale,E971
Targa,FI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 267 GG[3]"
Nome abitanti,marradesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Marradi,Marradi
Marradi – MappaPosizione del comune di Marradi all'interno della città metropolitana di Firenze,Marradi – MappaPosizione del comune di Marradi all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
