Castell'Azzara comune,Castell'Azzara comune.1
,
Castell'Azzara – Veduta,Castell'Azzara – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Grosseto
Amministrazione,Amministrazione
Sindaco,Tullio Tenci (lista civica Uniti per il Comune) dal 15-5-2023
Territorio,Territorio
Coordinate,42°46′21″N 11°41′55″E
Altitudine,815 m s.l.m.
Superficie,"64,23 km²"
Abitanti,1 257[1] (30-11-2025)
Densità,"19,57 ab./km²"
Frazioni,Selvena
Comuni confinanti,"Piancastagnaio (SI), Proceno (VT), Santa Fiora, Semproniano, Sorano"
Altre informazioni,Altre informazioni
Cod. postale,58034
Prefisso,0564
Fuso orario,UTC+1
Codice ISTAT,053005
Cod. catastale,C147
Targa,GR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 689 GG[3]"
Nome abitanti,castellazzaresi[4]
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Castell'Azzara,Castell'Azzara
Castell'Azzara – MappaPosizione del comune di Castell'Azzara all'interno della provincia di Grosseto,Castell'Azzara – MappaPosizione del comune di Castell'Azzara all'interno della provincia di Grosseto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
