Monte Argentario comune,Monte Argentario comune.1
,
Monte Argentario – Veduta,Monte Argentario – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Grosseto
Amministrazione,Amministrazione
Capoluogo,Porto Santo Stefano (sede comunale)[1]
Sindaco,Arturo Cerulli (lista civica di destra Civico 23) dal 15-5-2023
Data di istituzione,1842
Territorio,Territorio
Coordinate del capoluogo,42°26′07″N 11°07′00″E
Altitudine,5 m s.l.m.
Superficie,"60,4 km²"
Abitanti,11 621[2] (30-11-2025)
Densità,"192,4 ab./km²"
Frazioni,Porto Ercole
Comuni confinanti,Orbetello
Altre informazioni,Altre informazioni
Cod. postale,58019
Prefisso,0564
Fuso orario,UTC+1
Codice ISTAT,053016
Cod. catastale,F437
Targa,GR
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona C, 1 399 GG[4]"
Nome abitanti,santostefanesi e portercolesi[5]
Patrono,"sant'Erasmo, santo Stefano"
Giorno festivo,3 agosto (Porto Santo Stefano) - 2 giugno (Porto Ercole)
Cartografia,Cartografia
Porto Santo Stefano (sede comunale)[7],Porto Santo Stefano (sede comunale)[7]
Monte Argentario – MappaPosizione del comune di Monte Argentario all'interno della provincia di Grosseto,Monte Argentario – MappaPosizione del comune di Monte Argentario all'interno della provincia di Grosseto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
