Collesalvetti comune,Collesalvetti comune.1
,
Collesalvetti – VedutaVeduta,Collesalvetti – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Livorno
Amministrazione,Amministrazione
Sindaco,Sara Paoli (PD) dal 24-6-2024
Territorio,Territorio
Coordinate,43°35′20.72″N 10°28′34.74″E
Altitudine,40 m s.l.m.
Superficie,"107,96 km²"
Abitanti,16 407[1] (30-11-2025)
Densità,"151,97 ab./km²"
Frazioni,"Castell'Anselmo, Colognole, Guasticce, Nugola, Parrana San Giusto, Parrana San Martino, Stagno, Vicarello[2]"
Comuni confinanti,"Cascina (PI), Crespina Lorenzana (PI), Fauglia (PI), Livorno, Orciano Pisano (PI), Pisa (PI), Rosignano Marittimo"
Altre informazioni,Altre informazioni
Cod. postale,"57014; 57017 (Guasticce, Nugola, Stagno)"
Prefisso,0586
Fuso orario,UTC+1
Codice ISTAT,049008
Cod. catastale,C869
Targa,LI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 500 GG[4]"
Nome abitanti,"colligiano, colligiani[5]"
Patrono,san Quirico e santa Giulitta
Giorno festivo,16 giugno
Cartografia,Cartografia
Collesalvetti,Collesalvetti
Collesalvetti – MappaPosizione del comune di Collesalvetti all'interno della provincia di Livorno,Collesalvetti – MappaPosizione del comune di Collesalvetti all'interno della provincia di Livorno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
