Portoferraio comune,Portoferraio comune.1
,
Portoferraio – VedutaVeduta aerea,Portoferraio – VedutaVeduta aerea
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Livorno
Amministrazione,Amministrazione
Sindaco,Tiziano Nocentini (lista civica di destra Portoferraio c'è) dal 09-6-2024
Territorio,Territorio
Coordinate,42°49′N 10°19′E
Altitudine,4 m s.l.m.
Superficie,"48,48 km²"
Abitanti,11 765[1] (30-11-2025)
Densità,"242,68 ab./km²"
Frazioni,"Bagnaia, Biodola, Magazzini, Montecristo, San Giovanni, Scaglieri, Viticcio"
Comuni confinanti,"Campo nell'Elba, Capoliveri, Marciana, Porto Azzurro, Rio"
Altre informazioni,Altre informazioni
Cod. postale,57037
Prefisso,0565
Fuso orario,UTC+1
Codice ISTAT,049014
Cod. catastale,G912
Targa,LI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 025 GG[3]"
Nome abitanti,portoferraiesi[4]
Patrono,san Cristino
Giorno festivo,29 aprile
Cartografia,Cartografia
Portoferraio,Portoferraio
Portoferraio – MappaPosizione del comune di Portoferraio all'interno della provincia di Livorno,Portoferraio – MappaPosizione del comune di Portoferraio all'interno della provincia di Livorno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
