Sarteano comune,Sarteano comune.1
,
Sarteano – VedutaPanorama di Sarteano,Sarteano – VedutaPanorama di Sarteano
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Francesco Landi (centro-sinistra) dal 7-5-2012 (3º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,42°59′N 11°52′E
Altitudine,573 m s.l.m.
Superficie,"84,81 km²"
Abitanti,4 494[1] (30-11-2025)
Densità,"52,99 ab./km²"
Frazioni,Castiglioncello del Trinoro
Comuni confinanti,"Cetona, Chianciano Terme, Chiusi, Pienza, Radicofani, San Casciano dei Bagni"
Altre informazioni,Altre informazioni
Cod. postale,53047
Prefisso,0578
Fuso orario,UTC+1
Codice ISTAT,052031
Cod. catastale,I445
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 237 GG[3]"
Nome abitanti,sarteanesi[4]; sartianesi (antico)[4]
Patrono,Madonna del Buon Consiglio
Giorno festivo,26 aprile
Cartografia,Cartografia
Sarteano,Sarteano
Sarteano – MappaPosizione del comune di Sarteano all'interno della provincia di Siena,Sarteano – MappaPosizione del comune di Sarteano all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
