Aldino comune,Aldino comune.1
(IT) Aldino (DE) Aldein,(IT) Aldino (DE) Aldein
,
Aldino – Veduta,Aldino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Charlotte Oberberger Pichler (SVP) dal 4-5-2025
Lingue ufficiali,"Italiano, Tedesco"
Data di istituzione,16-10-1920
Territorio,Territorio
Coordinate,46°22′N 11°21′E
Altitudine,1 225 m s.l.m.
Superficie,"62,69 km²"
Abitanti,1 607[1] (30-11-2025)
Densità,"25,63 ab./km²"
Frazioni,"Olmi (Holen), Redagno (Radein)"
Comuni confinanti,"Bronzolo, Montagna sulla Strada del Vino, Nova Ponente, Ora, Trodena, Ville di Fiemme (TN)"
Altre informazioni,Altre informazioni
Cod. postale,39040
Prefisso,0471
Fuso orario,UTC+1
Codice ISTAT,021001
Cod. catastale,A179
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 4 330 GG[3]"
Nome abitanti,(IT) aldinesi (DE) Aldeiner[4]
Patrono,"sant'Elena, san Giacomo"
Giorno festivo,25 luglio
Cartografia,Cartografia
Aldino,Aldino
Aldino – MappaPosizione del comune di Aldino nella provincia autonoma di Bolzano,Aldino – MappaPosizione del comune di Aldino nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
