Dobbiaco comune,Dobbiaco comune.1
(IT) Dobbiaco (DE) Toblach,(IT) Dobbiaco (DE) Toblach
,
Dobbiaco – Veduta,Dobbiaco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Martin Rienzner (SVP) dal 22-9-2020
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°44′07.35″N 12°13′20.2″E
Altitudine,1 213 m s.l.m.
Superficie,"125,42 km²"
Abitanti,3 497[1] (30-11-2025)
Densità,"27,88 ab./km²"
Frazioni,"Santa Maria (Aufkirchen), Valle San Silvestro (Wahlen)"
Comuni confinanti,"Auronzo di Cadore (BL), Braies, Cortina d'Ampezzo (BL), Innervillgraten (AT-7), San Candido, Sesto, Valle di Casies, Villabassa"
Altre informazioni,Altre informazioni
Cod. postale,39034
Prefisso,0474
Fuso orario,UTC+1
Codice ISTAT,021028
Cod. catastale,D311
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 4 503 GG[3]"
Nome abitanti,(IT) dobbiacensi (DE) Toblacher[4]
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Dobbiaco,Dobbiaco
Dobbiaco – MappaPosizione del comune di Dobbiaco nella provincia autonoma di Bolzano,Dobbiaco – MappaPosizione del comune di Dobbiaco nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
