Lauregno comune,Lauregno comune.1
(IT) Lauregno (DE) Laurein,(IT) Lauregno (DE) Laurein
,
Lauregno – Veduta,Lauregno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Hartmann Thaler (SVP) dal 22-9-2020 (3º mandato)
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°27′15.89″N 11°03′43.25″E
Altitudine,1 150 m s.l.m.
Superficie,"13,89 km²"
Abitanti,315[1] (30-11-2025)
Densità,"22,68 ab./km²"
Frazioni,Sinablana
Comuni confinanti,"Borgo d'Anaunia (TN), Novella (TN), Proves, San Pancrazio, Ultimo"
Altre informazioni,Altre informazioni
Cod. postale,39040
Prefisso,0463
Fuso orario,UTC+1
Codice ISTAT,021043
Cod. catastale,E481
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 4 167 GG[3]"
Nome abitanti,(IT) lauregnesi (DE) Laureiner[4]
Patrono,san Vito
Cartografia,Cartografia
Lauregno,Lauregno
Lauregno – MappaPosizione del comune di Lauregno nella provincia autonoma di Bolzano,Lauregno – MappaPosizione del comune di Lauregno nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
