Valle di Casies comune,Valle di Casies comune.1
(IT) Valle di Casies (DE) Gsies,(IT) Valle di Casies (DE) Gsies
,
Valle di Casies – Veduta,Valle di Casies – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Paul Schwingshackl (SVP) dal 22-9-2020
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°48′43.28″N 12°13′43.14″E
Altitudine,1 305 m s.l.m.
Superficie,"110,14 km²"
Abitanti,2 356[1] (30-11-2025)
Densità,"21,39 ab./km²"
Frazioni,"Colle/Pichl, Santa Maddalena/St. Magdalena, San Martino/St. Martin (sede comunale)[2]"
Comuni confinanti,"Dobbiaco, Innervillgraten (AT-7), Monguelfo-Tesido, Rasun Anterselva, Sankt Jakob in Defereggen (AT-7), Villabassa"
Altre informazioni,Altre informazioni
Cod. postale,39035
Prefisso,0474
Fuso orario,UTC+1
Codice ISTAT,021109
Cod. catastale,L601
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona F, 4 428 GG[4]"
Nome abitanti,(IT) casiesani (DE) Gsieser[5]
Cartografia,Cartografia
Valle di Casies,Valle di Casies
Valle di Casies – MappaPosizione del comune di Valle di Casies nella provincia autonoma di Bolzano,Valle di Casies – MappaPosizione del comune di Valle di Casies nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
