Calceranica al Lago comune,Calceranica al Lago comune.1
,
Calceranica al Lago – VedutaCalceranica vista da Tenna,Calceranica al Lago – VedutaCalceranica vista da Tenna
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,"Gianni Marzi (lista civica Persone, territorio, comunità) dal 4-5-2025"
Data di istituzione,17-5-1947
Territorio,Territorio
Coordinate,46°00′13″N 11°14′33″E
Altitudine,465 m s.l.m.
Superficie,"3,39 km²"
Abitanti,1 397[1] (30-11-2025)
Densità,"412,09 ab./km²"
Frazioni,"Pieve della Mandola Masi: Simeli, Murari, Marini, Pradi"
Comuni confinanti,"Caldonazzo, Pergine Valsugana, Altopiano della Vigolana"
Altre informazioni,Altre informazioni
Cod. postale,38050
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022032
Cod. catastale,B389
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 066 GG[3]"
Nome abitanti,calceraneghesi o calceraneghi (i calzerànegoti)
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Calceranica al Lago,Calceranica al Lago
Calceranica al Lago – MappaPosizione del comune di Calceranica al Lago nella provincia autonoma di Trento,Calceranica al Lago – MappaPosizione del comune di Calceranica al Lago nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
