Contà comune,Contà comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Dott. Eric Rossi (lista civica) dal 04-05-2025
Data di istituzione,1º gennaio 2016
Territorio,Territorio
Coordinate,46°17′53.3″N 11°01′36.16″E
Altitudine,593 m s.l.m.
Superficie,"19,48[1] km²"
Abitanti,1 419[2] (30-11-2025)
Densità,"72,84 ab./km²"
Frazioni,"Cunevo, Flavon, Terres (sede comunale)"
Comuni confinanti,"Denno, Ville d'Anaunia"
Altre informazioni,Altre informazioni
Cod. postale,38093
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022242
Cod. catastale,M356
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[3]
Patrono,santi Filippo e Giacomo
Giorno festivo,3 maggio
Cartografia,Cartografia
Contà,Contà
Contà – MappaPosizione del comune di Contà  nella provincia autonoma di Trento,Contà – MappaPosizione del comune di Contà  nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
