Lavarone comune,Lavarone comune.1
,
Lavarone – VedutaPiazza Italia - Fraz. Chiesa,Lavarone – VedutaPiazza Italia - Fraz. Chiesa
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Capoluogo,Gionghi
Sindaco,Claudio Stenghele (Uniti per un Obiettivo Comune (lista civica)) dal 05-5-2025
Territorio,Territorio
Coordinate del capoluogo,45°56′N 11°16′E
Altitudine,1 174 m s.l.m.
Superficie,"26,32 km²"
Abitanti,1 204[1] (30-11-2025)
Densità,"45,74 ab./km²"
Frazioni,"Chiesa, Bertoldi, Cappella, Gionghi (sede comunale), Piccoli, Stengheli, Lanzino, Azzolini, Albertini, Nicolussi, Masi di Sotto, Oseli, Gasperi, Magrè, Masetti, Longhi, Slaghenaufi, Rocchetti,"
Comuni confinanti,"Caldonazzo, Folgaria, Lastebasse (VI), Luserna, Pedemonte (VI)"
Altre informazioni,Altre informazioni
Lingue,"Italiano,Cimbro"
Cod. postale,38046
Prefisso,0464
Fuso orario,UTC+1
Codice ISTAT,022102
Cod. catastale,E492
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 147 GG[3]"
Nome abitanti,lavaronesi
Patrono,san Floriano
Giorno festivo,4 maggio
Cartografia,Cartografia
Gionghi,Gionghi
Lavarone – MappaPosizione del comune di Lavarone nella provincia autonoma di Trento,Lavarone – MappaPosizione del comune di Lavarone nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
