Pinzolo comune,Pinzolo comune.1
,
Pinzolo – VedutaChiesa di San Vigilio,Pinzolo – VedutaChiesa di San Vigilio
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Michele Cereghini (liste civiche) dal 10-5-2015
Territorio,Territorio
Coordinate,46°09′35.64″N 10°45′57.6″E
Altitudine,774 m s.l.m.
Superficie,"69,32 km²"
Abitanti,3 064[1] (30-11-2025)
Densità,"44,2 ab./km²"
Frazioni,"Campo Carlo Magno, Madonna di Campiglio, Sant'Antonio di Mavignola"
Comuni confinanti,"Caderzone Terme, Carisolo, Commezzadura, Dimaro Folgarida, Giustino, Mezzana, Ossana, Pellizzano, Stenico, Tre Ville"
Altre informazioni,Altre informazioni
Cod. postale,38086
Prefisso,0465
Fuso orario,UTC+1
Codice ISTAT,022143
Cod. catastale,G681
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 592 GG[3]"
Nome abitanti,pinzoleri (pinzulér in dialetto)
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Pinzolo,Pinzolo
Pinzolo – MappaPosizione del comune di Pinzolo nella provincia autonoma di Trento,Pinzolo – MappaPosizione del comune di Pinzolo nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
