Rabbi comune,Rabbi comune.1
,
Rabbi – Veduta,Rabbi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Lorenzo Cicolini (Lista UNIRABBI) dal 3-5-2009
Territorio,Territorio
Coordinate,46°24′N 10°51′E
Altitudine,1 095 m s.l.m.
Superficie,"132,79 km²"
Abitanti,1 377[1] (30-11-2025)
Densità,"10,37 ab./km²"
Frazioni,"Cagliari, Piazzola, Pracorno, San Bernardo (sede comunale), Rabbi Fonti"
Comuni confinanti,"Bresimo, Commezzadura, Malé, Martello (BZ), Mezzana, Peio, Pellizzano, Ultimo (BZ)"
Altre informazioni,Altre informazioni
Cod. postale,38020
Prefisso,0463
Fuso orario,UTC+1
Codice ISTAT,022150
Cod. catastale,H146
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 099 GG[3]"
Nome abitanti,"rabbiesi detti ""corvi"" a San Bernardo, ""chjaore"" a Piazzola, ""gósi"" a Pracorno"
Patrono,"Madonna del Caravaggio (a Pracorno), san Bernardo (a San Bernardo), san Giovanni Nepomuceno (a Piazzola)"
Cartografia,Cartografia
Rabbi,Rabbi
Rabbi – MappaPosizione del comune di Rabbi nella provincia autonoma di Trento,Rabbi – MappaPosizione del comune di Rabbi nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
