Riva del Garda comune,Riva del Garda comune.1
,
Riva del Garda – VedutaRiva del Garda veduta,Riva del Garda – VedutaRiva del Garda veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Alessio Zanoni (centro-sinistra) dal 18-05-2025
Territorio,Territorio
Coordinate,45°53′N 10°51′E
Altitudine,65 m s.l.m.
Superficie,"40,73 km²"
Acque interne,"7,75 km² (19,03%)"
Abitanti,17 774[1] (30-11-2025)
Densità,"436,39 ab./km²"
Frazioni,"Campi, Pregasina, Sant'Alessandro, Varone"
Comuni confinanti,"Arco, Ledro, Limone sul Garda (BS), Malcesine (VR), Nago-Torbole, Tenno"
Altre informazioni,Altre informazioni
Cod. postale,38066
Prefisso,0464
Fuso orario,UTC+1
Codice ISTAT,022153
Cod. catastale,H330
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 276 GG[3]"
Nome abitanti,rivani
Patrono,santa Maria Assunta e sant'Andrea
Giorno festivo,"15 agosto, 30 novembre"
Motto,Currit Benacum Libere Ripa Lacum
Cartografia,Cartografia
Riva del Garda,Riva del Garda
Riva del Garda – MappaPosizione del comune di Riva del Garda nella provincia autonoma di Trento,Riva del Garda – MappaPosizione del comune di Riva del Garda nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
