San Giovanni di Fassa comune,San Giovanni di Fassa comune.1
(IT) San Giovanni di Fassa (LLD) Sèn Jan,(IT) San Giovanni di Fassa (LLD) Sèn Jan
,
San Giovanni di Fassa – VedutaLa chiesa di San Giovanni di Fassa,San Giovanni di Fassa – VedutaLa chiesa di San Giovanni di Fassa
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Giulio Florian (liste civiche) dal 27-5-2018
Data di istituzione,1º gennaio 2018
Territorio,Territorio
Coordinate,46°25′48.94″N 11°41′12.46″E
Altitudine,1 380 m s.l.m.
Superficie,"99,82 km²"
Abitanti,3 624[1] (30-11-2025)
Densità,"36,31 ab./km²"
Frazioni,"Costa, Larzonei, Monzon, Passo Carezza, Pera, Pozza (sede comunale), Ronch, San Giovanni, Tamion, Vallonga, Vigo"
Comuni confinanti,"Canazei, Mazzin, Moena, Nova Levante (BZ), Rocca Pietore (BL), Soraga di Fassa, Tires (BZ)"
Altre informazioni,Altre informazioni
Lingue,"Ladino, Italiano"
Cod. postale,38036
Prefisso,0462
Fuso orario,UTC+1
Codice ISTAT,022250
Cod. catastale,M390
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
San Giovanni di Fassa,San Giovanni di Fassa
San Giovanni di Fassa – MappaPosizione del comune di San Giovanni di Fassa nella provincia autonoma di Trento,San Giovanni di Fassa – MappaPosizione del comune di San Giovanni di Fassa nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
