Sarnonico comune,Sarnonico comune.1
,
Sarnonico – VedutaVista del paese con in primo piano la parrocchiale di San Lorenzo e il cimitero,Sarnonico – VedutaVista del paese con in primo piano la parrocchiale di San Lorenzo e il cimitero
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Emanuela Abram (lista civica) dall'11-5-2015
Territorio,Territorio
Coordinate,46°25′07.42″N 11°08′26.85″E
Altitudine,963 m s.l.m.
Superficie,"12,19 km²"
Abitanti,780[1] (30-11-2025)
Densità,"63,99 ab./km²"
Frazioni,Seio
Comuni confinanti,"Appiano sulla Strada del Vino (BZ), Borgo d'Anaunia, Caldaro sulla Strada del Vino (BZ), Cavareno, Dambel, Novella, Romeno, Ronzone, Ruffré-Mendola"
Altre informazioni,Altre informazioni
Cod. postale,38010
Prefisso,0463
Fuso orario,UTC+1
Codice ISTAT,022170
Cod. catastale,I439
Targa,TN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 893 GG[3]"
Nome abitanti,sarnonichesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Sarnonico,Sarnonico
Sarnonico – MappaPosizione del comune di Sarnonico nella provincia autonoma di Trento,Sarnonico – MappaPosizione del comune di Sarnonico nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
