Villa Lagarina comune,Villa Lagarina comune.1
,
Villa Lagarina – VedutaChiesa di Santa Maria Assunta,Villa Lagarina – VedutaChiesa di Santa Maria Assunta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Julka Giordani (Lista civica) dal 22-9-2020 (2º mandato dal 4-5-2025)
Data di istituzione,16-10-1920
Territorio,Territorio
Coordinate,45°55′N 11°02′E
Altitudine,180 m s.l.m.
Superficie,"24,13 km²"
Abitanti,3 867[1] (30-11-2025)
Densità,"160,26 ab./km²"
Frazioni,"Castellano (Castelàm), Pedersano (Presàm), Piazzo[2]"
Comuni confinanti,"Arco, Cavedine, Cimone, Drena, Isera, Nogaredo, Pomarolo, Ronzo-Chienis, Rovereto, Trento"
Altre informazioni,Altre informazioni
Lingue,Italiano
Cod. postale,38060
Prefisso,0464
Fuso orario,UTC+1
Codice ISTAT,022222
Cod. catastale,L957
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 675 GG[4]"
Nome abitanti,villani
Patrono,Santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Villa Lagarina,Villa Lagarina
Villa Lagarina – MappaPosizione del comune di Villa Lagarina nella provincia autonoma di Trento,Villa Lagarina – MappaPosizione del comune di Villa Lagarina nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
