Torgiano comune,Torgiano comune.1
,
Torgiano – VedutaIl panorama di Torgiano,Torgiano – VedutaIl panorama di Torgiano
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Eridano Liberti (centro-destra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°01′32.27″N 12°26′02.32″E
Altitudine,219 m s.l.m.
Superficie,"37,66 km²"
Abitanti,6 637[1] (30-11-2025)
Densità,"176,23 ab./km²"
Frazioni,"Brufa, Pontenuovo, Signoria, Miralduolo, Ferriera, Bufaloro[2]"
Comuni confinanti,"Bastia Umbra, Bettona, Deruta, Perugia"
Altre informazioni,Altre informazioni
Cod. postale,06089
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,054053
Cod. catastale,L216
Targa,PG
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 2 014 GG[4]"
Nome abitanti,torgianesi
Patrono,san Bartolomeo
Giorno festivo,25 agosto
Cartografia,Cartografia
Torgiano,Torgiano
Torgiano – MappaPosizione del comune di Torgiano all'interno della provincia di Perugia,Torgiano – MappaPosizione del comune di Torgiano all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
