Issime comune,Issime comune.1
(IT) Comune di Issime (FR) Commune d'Issime (DE) Gemeindeverwaltung Eischeme,(IT) Comune di Issime (FR) Commune d'Issime (DE) Gemeindeverwaltung Eischeme
,
Issime – VedutaIl capoluogo (Duarf) visto dal villaggio di Hubbal,Issime – VedutaIl capoluogo (Duarf) visto dal villaggio di Hubbal
Localizzazione,Localizzazione
Stato,Italia
Regione,Valle d'Aosta
Provincia,Non presente
Amministrazione,Amministrazione
Capoluogo,Duarf
Sindaco,"Enrico Montanari (lista civica Progetto InSSIeME - vür mèis lann, vür ünz lann) dal 16-05-2022"
Lingue ufficiali,"Francese, italiano, tedesco"
Territorio,Territorio
Coordinate del capoluogo,45°41′N 7°51′E
Altitudine,953 m s.l.m.
Superficie,"35,38[1] km²"
Abitanti,374[2] (30-11-2025)
Densità,"10,57 ab./km²"
Frazioni,"Di seguito i toponimi ufficiali in francese, tra parentesi sono indicati i toponimi in Töitschu: Fornas (Fornaz), Bioley (Biouley), Ceresole (Di Zinnisili), Champriond (Tschendriun), Chef-lieu (Duarf o Hauptort), Chincheré (Tschentschiri), Crest (Krecht), Crose (Kruasi), Cugna (Künju), Fontaineclaire (Funtrunkieeru), Grand Champ (Gran Tschamp), Grand Praz (Gran Proa), Nicche (Nicke), Plane (Pioani), Praz (Proa), Preit (zam Preite), Karrutzu, Proasch (Proasch), Ribola (Ribulu), Riccard (Rickard), Riccourt (Rickurt), Riccourt Dessus (Z'uabra Rickurt), Herrenhaus (tsch'Hieruhous), Riva (Réivu), Bennetsch, Rollie (Rollji), Seingles (Zéngji), Seingles Dessus (Z'uabra Zéngji), Stein (Stein), Tontinel (Tuntelentsch), Vecchaus (Vetsch-hus), Zan (Sann)"
Comuni confinanti,"Arnad, Brusson, Challand-Saint-Anselme, Challand-Saint-Victor, Fontainemore, Gaby, Lillianes, Perloz, Sagliano Micca (BI)"
Altre informazioni,Altre informazioni
Cod. postale,11020
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,007036
Cod. catastale,E369
Targa,AO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 672 GG[4]"
Nome abitanti,issimesi (in italiano) Issimois (in francese) éischemera (in Töitschu) schummerou (in patois di Gaby)
Patrono,"san Giacomo (in Töitschu, Sent Joapuk)"
Giorno festivo,25 luglio
Cartografia,Cartografia
Duarf,Duarf
Issime – MappaPosizione del comune di Issime all'interno della Valle d'Aosta,Issime – MappaPosizione del comune di Issime all'interno della Valle d'Aosta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
