Perarolo di Cadore comune,Perarolo di Cadore comune.1
,
Perarolo di Cadore – VedutaVeduta del centro con la chiesa,Perarolo di Cadore – VedutaVeduta del centro con la chiesa
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Pier Luigi Svaluto Ferro (lista civica Insieme per guardare avanti) dall'8-6-2009 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,46°23′44″N 12°21′23″E
Altitudine,532 m s.l.m.
Superficie,"43,94 km²"
Abitanti,365[1] (30-11-2025)
Densità,"8,31 ab./km²"
Frazioni,"Caralte, Fontanelle, Macchietto, Peron"
Comuni confinanti,"Cimolais (PN), Erto e Casso (PN), Ospitale di Cadore, Pieve di Cadore, Valle di Cadore"
Altre informazioni,Altre informazioni
Cod. postale,32010
Prefisso,0435
Fuso orario,UTC+1
Codice ISTAT,025037
Cod. catastale,G442
Targa,BL
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 3 550 GG[3]"
Nome abitanti,perarolesi
Patrono,san Nicolò
Cartografia,Cartografia
Perarolo di Cadore,Perarolo di Cadore
Perarolo di Cadore – MappaPosizione del comune di Perarolo di Cadore nella provincia di Belluno,Perarolo di Cadore – MappaPosizione del comune di Perarolo di Cadore nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
