Tambre comune,Tambre comune.1
,
Tambre – Veduta,Tambre – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Sara Bona (lista civica Al lavoro per Tambre) dal 13-6-2022
Territorio,Territorio
Coordinate,46°08′N 12°25′E
Altitudine,922 m s.l.m.
Superficie,"45,27 km²"
Abitanti,1 262[1] (30-11-2025)
Densità,"27,88 ab./km²"
Frazioni,"All'O, Benedet, Borsoi, Brolio, Broz, Buraci, Campon, Civit, Col Indes, Federa, Frassenei, Fullin, Lavina, Malolt, Micei, Moretti, Pianon, Pian Canaie, Pian Cansiglio, Pian Osteria, Sant'Anna, Scurzan, Soralavina, Tambruz, Valdenogher, Valmenera, Valturcana, Vivaio[2]"
Comuni confinanti,"Alpago, Aviano (PN), Barcis (PN), Budoia (PN), Caneva (PN), Chies d'Alpago, Fregona (TV), Polcenigo (PN)"
Altre informazioni,Altre informazioni
Cod. postale,32010
Prefisso,0437
Fuso orario,UTC+1
Codice ISTAT,025060
Cod. catastale,L040
Targa,BL
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona F, 3 898 GG[4]"
Nome abitanti,tambresi
Patrono,santi Ermagora e Fortunato
Giorno festivo,12 luglio
Cartografia,Cartografia
Tambre,Tambre
Tambre – MappaPosizione del comune di Tambre nella provincia di Belluno,Tambre – MappaPosizione del comune di Tambre nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
