Vallada Agordina comune,Vallada Agordina comune.1
,
"Vallada Agordina – VedutaPanorama di Sachet, con Andrich e Toffol poco più sopra; sullo sfondo, le Cime di Pezza.","Vallada Agordina – VedutaPanorama di Sachet, con Andrich e Toffol poco più sopra; sullo sfondo, le Cime di Pezza."
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Fabio Ferdinando Luchetta (lista civica La Valada) dall'8-6-2009 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,46°22′24.35″N 11°55′46.42″E
Altitudine,1 036 m s.l.m.
Superficie,13[1] km²
Abitanti,457[2] (30-11-2025)
Densità,"35,15 ab./km²"
Frazioni,"Andrich, Celat, Cogul (Chegul), Mas, Piaz, Sachet (sede comunale), Toffol (Tofol)[3]"
Comuni confinanti,"Canale d'Agordo, Cencenighe Agordino, Rocca Pietore, San Tomaso Agordino"
Altre informazioni,Altre informazioni
Cod. postale,32020
Prefisso,0437
Fuso orario,UTC+1
Codice ISTAT,025062
Cod. catastale,L584
Targa,BL
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona F, 4 056 GG[5]"
Nome abitanti,valladesi
Patrono,san Simone
Cartografia,Cartografia
Vallada Agordina,Vallada Agordina
Vallada Agordina – MappaPosizione del comune di Vallada Agordina nella provincia di Belluno,Vallada Agordina – MappaPosizione del comune di Vallada Agordina nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
