Rovolon comune,Rovolon comune.1
,
"Rovolon – VedutaIl campanile della chiesa di San Giorgio, a Rovolon","Rovolon – VedutaIl campanile della chiesa di San Giorgio, a Rovolon"
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Ermanno Magagnin (lista civica Uniti per Rovolon) dal 4-10-2021
Territorio,Territorio
Coordinate,45°22′47.84″N 11°39′16.48″E
Altitudine,152 m s.l.m.
Superficie,"27,69 km²"
Abitanti,4 859[1] (30-11-2025)
Densità,"175,48 ab./km²"
Frazioni,"Bastia (sede comunale), Carbonara, Rovolon, San Pietro, Lovolo (in parte)"
Comuni confinanti,"Albettone (VI), Barbarano Mossano (VI), Castegnero Nanto (VI), Cervarese Santa Croce, Montegaldella (VI), Teolo, Vo'"
Altre informazioni,Altre informazioni
Cod. postale,35030
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028071
Cod. catastale,H622
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 368 GG[3]"
Nome abitanti,rovolonesi
Patrono,Madonna della Neve
Giorno festivo,5 agosto
Cartografia,Cartografia
Rovolon,Rovolon
Rovolon – MappaPosizione del comune di Rovolon all'interno della provincia di Padova,Rovolon – MappaPosizione del comune di Rovolon all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
