Rubano comune,Rubano comune.1
,
Rubano – Veduta,Rubano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Chiara Buson (centro-sinistra) dal 24-6-2024
Territorio,Territorio
Coordinate,45°26′N 11°47′E
Altitudine,18 m s.l.m.
Superficie,"14,51 km²"
Abitanti,17 208[1] (30-11-2025)
Densità,"1 185,94 ab./km²"
Frazioni,"Bosco, Rubano (capoluogo), Sarmeola, Villaguattera"
Comuni confinanti,"Mestrino, Padova, Saccolongo, Selvazzano Dentro, Villafranca Padovana"
Altre informazioni,Altre informazioni
Cod. postale,35030
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028072
Cod. catastale,H625
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 383 GG[3]"
Nome abitanti,rubanesi
Patrono,"santa Maria Assunta (capoluogo), santa Maria e san Teobaldo (Bosco), san Fidenzio (Sarmeola), san Prosdocimo (Villaguattera)"
Giorno festivo,13 giugno (sant'Antonio da Padova)
Cartografia,Cartografia
Rubano,Rubano
Rubano – MappaPosizione del comune di Rubano all'interno della provincia di Padova,Rubano – MappaPosizione del comune di Rubano all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
