Arquà Polesine comune,Arquà Polesine comune.1
,
"Arquà Polesine – VedutaCastello Estense, particolare cortile interno","Arquà Polesine – VedutaCastello Estense, particolare cortile interno"
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Rovigo
Amministrazione,Amministrazione
Sindaco,Enrico Serafin (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,45°01′N 11°44′E
Altitudine,8 m s.l.m.
Superficie,"19,93 km²"
Abitanti,2 572[1] (30-11-2025)
Densità,"129,05 ab./km²"
Frazioni,"Capobosco, Cornè, Granze, San Marco, Valmolin"
Comuni confinanti,"Bosaro, Costa di Rovigo, Frassinelle Polesine, Polesella, Rovigo, Villamarzana"
Altre informazioni,Altre informazioni
Cod. postale,45031
Prefisso,0425
Fuso orario,UTC+1
Codice ISTAT,029003
Cod. catastale,A435
Targa,RO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 466 GG[3]"
Nome abitanti,Arquatesi
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Arquà Polesine,Arquà Polesine
Arquà Polesine – MappaPosizione del comune di Arquà Polesine nella provincia di Rovigo,Arquà Polesine – MappaPosizione del comune di Arquà Polesine nella provincia di Rovigo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
