Codognè comune,Codognè comune.1
,
Codognè – VedutaVilla Toderini,Codognè – VedutaVilla Toderini
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Jessica Masini (lista civica trasversale Avanti Codognè!) dal 10-6-2024
Territorio,Territorio
Coordinate,45°52′N 12°26′E
Altitudine,26 m s.l.m.
Superficie,"21,75 km²"
Abitanti,5 252[1] (30-11-2025)
Densità,"241,47 ab./km²"
Frazioni,"Cimavilla, Cimetta, Roverbasso Località: Borgo Municipio, Borgo Chiesa, Campo Cervaro, Termen"
Comuni confinanti,"Fontanelle, Gaiarine, Godega di Sant'Urbano, Mareno di Piave, San Fior, San Vendemiano, Vazzola"
Altre informazioni,Altre informazioni
Cod. postale,31013
Prefisso,0438
Fuso orario,UTC+1
Codice ISTAT,026019
Cod. catastale,C815
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 422 GG[3]"
Nome abitanti,codognesi
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Codognè,Codognè
Codognè – MappaIl territorio comunale nella provincia di Treviso.,Codognè – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
