Maser comune,Maser comune.1
,
Maser – VedutaMaser vista dal colle di San Giorgio,Maser – VedutaMaser vista dal colle di San Giorgio
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Claudia Benedos (Claudia Benedos per Maser-Lega Salvini-Liga Veneta) dal 27-5-2019
Territorio,Territorio
Coordinate,45°49′N 11°59′E
Altitudine,147 m s.l.m.
Superficie,"25,85 km²"
Abitanti,5 101[1] (30-11-2025)
Densità,"197,33 ab./km²"
Frazioni,"Coste, Crespignaga, Madonna della Salute"
Comuni confinanti,"Altivole, Asolo, Caerano di San Marco, Cornuda, Monfumo"
Altre informazioni,Altre informazioni
Cod. postale,31010
Prefisso,0423
Fuso orario,UTC+1
Codice ISTAT,026039
Cod. catastale,F009
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 462 GG[3]"
Nome abitanti,maserini
Patrono,Conversione di san Paolo
Giorno festivo,25 gennaio
Cartografia,Cartografia
Maser,Maser
Maser – MappaIl territorio comunale nella provincia di Treviso.,Maser – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
