Paese comune,Paese comune.1
,
"Paese – VedutaVilla ""La Quiete"", sede municipale, e parco antistante","Paese – VedutaVilla ""La Quiete"", sede municipale, e parco antistante"
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Katia Uberti (centro-destra) dal 27-6-2019 (2º mandato dall'11-6-2024)
Territorio,Territorio
Coordinate,45°40′N 12°09′E
Altitudine,32 m s.l.m.
Superficie,"38,09 km²"
Abitanti,22 176[1] (30-11-2025)
Densità,"582,2 ab./km²"
Frazioni,"Castagnole, Padernello, Porcellengo, Postioma"
Comuni confinanti,"Istrana, Morgano, Ponzano Veneto, Quinto di Treviso, Trevignano, Treviso, Volpago del Montello"
Altre informazioni,Altre informazioni
Cod. postale,31038
Prefisso,0422
Fuso orario,UTC+1
Codice ISTAT,026055
Cod. catastale,G229
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 401 GG[3]"
Nome abitanti,paesani
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Paese,Paese
Paese – MappaIl territorio comunale nella provincia di Treviso.,Paese – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
