Povegliano comune,Povegliano comune.1
,
"Povegliano – VedutaIl paese di Santandrà visto dal campanile, guardando verso Ovest","Povegliano – VedutaIl paese di Santandrà visto dal campanile, guardando verso Ovest"
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Nicola Collavo (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°46′N 12°12′E
Altitudine,56 m s.l.m.
Superficie,"12,91 km²"
Abitanti,5 137[1] (30-11-2025)
Densità,"397,91 ab./km²"
Frazioni,"Camalò, Santandrà"
Comuni confinanti,"Arcade, Giavera del Montello, Ponzano Veneto, Villorba, Volpago del Montello"
Altre informazioni,Altre informazioni
Cod. postale,31050
Prefisso,0422
Fuso orario,UTC+1
Codice ISTAT,026062
Cod. catastale,G944
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 416 GG[3]"
Nome abitanti,poveglianesi
Cartografia,Cartografia
Povegliano,Povegliano
Povegliano – MappaIl territorio comunale nella provincia di Treviso.,Povegliano – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
