Cazzano di Tramigna comune,Cazzano di Tramigna comune.1
,
Cazzano di Tramigna – VedutaPanorama di Cazzano,Cazzano di Tramigna – VedutaPanorama di Cazzano
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Maria Luisa Guadin (lista civica La Sorgente) dall'11-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,45°29′N 11°12′E
Altitudine,100 m s.l.m.
Superficie,"12,27 km²"
Abitanti,1 464[1] (30-11-2025)
Densità,"119,32 ab./km²"
Frazioni,"Campiano, Costeggiola, Monti, Pissolo[2]"
Comuni confinanti,"Colognola ai Colli, Illasi, Montecchia di Crosara, San Giovanni Ilarione, Soave, Tregnago"
Altre informazioni,Altre informazioni
Cod. postale,37030
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023024
Cod. catastale,C412
Targa,VR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 460 GG[4]"
Nome abitanti,cazzanesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Cazzano di Tramigna,Cazzano di Tramigna
Cazzano di Tramigna – MappaPosizione del comune di Cazzano di Tramigna all'interno della provincia di Verona,Cazzano di Tramigna – MappaPosizione del comune di Cazzano di Tramigna all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
