Cologna Veneta comune,Cologna Veneta comune.1
,
Cologna Veneta – VedutaPalazzo comunale di Cologna Veneta,Cologna Veneta – VedutaPalazzo comunale di Cologna Veneta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,"Manuel Scalzotto (Lega, eletto con lista civica ""MuoviAmo Cologna"") dal 6-6-2016 (2º mandato dal 4-10-2021)"
Territorio,Territorio
Coordinate,45°19′N 11°23′E
Altitudine,24 m s.l.m.
Superficie,"42,83 km²"
Abitanti,8 533[1] (30-11-2025)
Densità,"199,23 ab./km²"
Frazioni,"Baldaria, Sabbion, San Sebastiano, Sant'Andrea, Spessa Sule"
Comuni confinanti,"Asigliano Veneto (VI), Lonigo (VI), Orgiano (VI), Pojana Maggiore (VI), Pressana, Roveredo di Guà, Veronella, Zimella"
Altre informazioni,Altre informazioni
Cod. postale,37044
Prefisso,0442
Fuso orario,UTC+1
Codice ISTAT,023027
Cod. catastale,C890
Targa,VR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 432 GG[3]"
Nome abitanti,colognesi
Patrono,Natività della Beata Vergine Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Cologna Veneta,Cologna Veneta
Cologna Veneta – MappaPosizione del comune di Cologna Veneta all'interno della provincia di Verona,Cologna Veneta – MappaPosizione del comune di Cologna Veneta all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
