Dolcè comune,Dolcè comune.1
,
Dolcè – VedutaPanorama,Dolcè – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Renato Comerlati (lista civica Dolcè Domani) dal 10-6-2024
Territorio,Territorio
Coordinate,45°36′N 10°51′E
Altitudine,115 m s.l.m.
Superficie,"30,95 km²"
Abitanti,2 536[1] (30-11-2025)
Densità,"81,94 ab./km²"
Frazioni,"Ceraino, Ossenigo, Peri, Volargne[2]"
Comuni confinanti,"Avio (TN), Brentino Belluno, Fumane, Rivoli Veronese, Sant'Ambrogio di Valpolicella, Sant'Anna d'Alfaedo"
Altre informazioni,Altre informazioni
Cod. postale,37020
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023031
Cod. catastale,D317
Targa,VR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 484 GG[4]"
Nome abitanti,dolceati
Patrono,santa Lucia
Giorno festivo,13 dicembre
Cartografia,Cartografia
Dolcè,Dolcè
Dolcè – MappaPosizione del comune di Dolcè all'interno della provincia di Verona,Dolcè – MappaPosizione del comune di Dolcè all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
