Salizzole comune,Salizzole comune.1
,
Salizzole – VedutaCastello Scaligero di Salizzole,Salizzole – VedutaCastello Scaligero di Salizzole
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,"Angelo Campi (Lega, eletto con lista civica ""Orizzonti Nuovi"") dal 26-5-2019"
Territorio,Territorio
Coordinate,45°15′N 11°05′E
Altitudine,22 m s.l.m.
Superficie,"30,7 km²"
Abitanti,3 750[1] (30-11-2025)
Densità,"122,15 ab./km²"
Frazioni,"Bionde, Engazzà, Valmorsel[2]"
Comuni confinanti,"Bovolone, Concamarise, Isola della Scala, Nogara, Sanguinetto"
Altre informazioni,Altre informazioni
Cod. postale,37056
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023068
Cod. catastale,H714
Targa,VR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 333 GG[4]"
Nome abitanti,salizzolesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Salizzole,Salizzole
Salizzole – MappaPosizione del comune di Salizzole all'interno della provincia di Verona,Salizzole – MappaPosizione del comune di Salizzole all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
