Villafranca di Verona comune,Villafranca di Verona comune.1
,
Villafranca di Verona – VedutaIl castello Scaligero di Villafranca,Villafranca di Verona – VedutaIl castello Scaligero di Villafranca
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,"Roberto Dall'Oca (Fratelli d’Italia, Lega - Liga Veneta, Forza Italia e Liste civiche) dall'11-6-2018 (2º mandato dal 15-5-2023)"
Territorio,Territorio
Coordinate,45°21′N 10°51′E
Altitudine,54 m s.l.m.
Superficie,"57,34 km²"
Abitanti,32 801[1] (30-11-2025)
Densità,"572,04 ab./km²"
Frazioni,"Alpo, Caluri, Dossobuono, Pizzoletta, Quaderni, Rizza, Rosegaferro[2]"
Comuni confinanti,"Castel d'Azzano, Mozzecane, Povegliano Veronese, Sommacampagna, Valeggio sul Mincio, Verona, Vigasio"
Altre informazioni,Altre informazioni
Cod. postale,"37069; 37062 (Alpo, Dossobuono)"
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023096
Cod. catastale,L949
Targa,VR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 282 GG[4]"
Nome abitanti,villafranchesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Villafranca di Verona,Villafranca di Verona
Villafranca di Verona – MappaPosizione del comune di Villafranca di Verona all'interno della provincia di Verona,Villafranca di Verona – MappaPosizione del comune di Villafranca di Verona all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
