Provincia di Verona provincia,Provincia di Verona provincia.1
,
"Provincia di Verona – VedutaLoggia del Consiglio, sede della Provincia.","Provincia di Verona – VedutaLoggia del Consiglio, sede della Provincia."
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Amministrazione,Amministrazione
Capoluogo,Verona
Presidente,Flavio Massimo Pasini (LN) dal 29-1-2023
Data di istituzione,1815
Territorio,Territorio
Coordinate del capoluogo,45°26′17.37″N 10°59′37.47″E
Superficie,"3 096,39 km²"
Abitanti,931 021[1] (30-11-2025)
Densità,"300,68 ab./km²"
Comuni,98 comuni
Province confinanti,"Trento, Vicenza, Padova, Rovigo, Mantova, Brescia"
Altre informazioni,Altre informazioni
Cod. postale,"37121-37142 Verona, 37010-37069"
Prefisso,"045, 0442"
Fuso orario,UTC+1
ISO 3166-2,IT-VR
Codice ISTAT,023
Targa,VR
Cartografia,Cartografia
Provincia di Verona – Localizzazione,Provincia di Verona – Localizzazione
Provincia di Verona – MappaPosizione della provincia di Verona all'interno del Veneto,Provincia di Verona – MappaPosizione della provincia di Verona all'interno del Veneto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
