Rossano Veneto comune,Rossano Veneto comune.1
,
Rossano Veneto – Veduta,Rossano Veneto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Marco Zonta (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,45°42′24″N 11°48′25″E
Altitudine,78 m s.l.m.
Superficie,"10,6 km²"
Abitanti,8 306[1] (30-11-2025)
Densità,"783,58 ab./km²"
Frazioni,Mottinello Nuovo[2]
Comuni confinanti,"Cassola, Cittadella (PD), Galliera Veneta (PD), Loria (TV), Rosà, Tezze sul Brenta"
Altre informazioni,Altre informazioni
Cod. postale,36028
Prefisso,0424
Fuso orario,UTC+1
Codice ISTAT,024088
Cod. catastale,H580
Targa,VI
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 366 GG[4]"
Nome abitanti,rossanesi
Patrono,Natività di Maria Vergine
Giorno festivo,8 settembre
Cartografia,Cartografia
Rossano Veneto,Rossano Veneto
Rossano Veneto – MappaPosizione del comune di Rossano Veneto all'interno della provincia di Vicenza,Rossano Veneto – MappaPosizione del comune di Rossano Veneto all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
