Schio comune,Schio comune.1
,
Schio – VedutaIl duomo di San Pietro visto dal castello,Schio – VedutaIl duomo di San Pietro visto dal castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Cristina Marigo (liste civiche) dal 24-6-2024
Territorio,Territorio
Coordinate,45°42′50″N 11°21′31″E
Altitudine,202 m s.l.m.
Superficie,"66,21 km²"
Abitanti,38 958[1] (30-11-2025)
Densità,"588,4 ab./km²"
Frazioni,"Liviera, Ca' Trenta, Giavenale, Magrè, Monte Magrè, Piane, Poleo, Sacro Cuore, Santa Croce, Santa Trinità, Santa Caterina, Tretto"
Comuni confinanti,"Marano Vicentino, Monte di Malo, Posina, San Vito di Leguzzano, Santorso, Torrebelvicino, Valdagno, Valli del Pasubio, Velo d'Astico, Zanè"
Altre informazioni,Altre informazioni
Cod. postale,36015
Prefisso,0445
Fuso orario,UTC+1
Codice ISTAT,024100
Cod. catastale,I531
Targa,VI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 588 GG[3]"
Nome abitanti,scledensi
Patrono,san Pietro e santa Felicissima
Giorno festivo,29 giugno
Cartografia,Cartografia
Schio,Schio
Schio – MappaPosizione del comune di Schio all'interno della provincia di Vicenza,Schio – MappaPosizione del comune di Schio all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
