Solagna comune,Solagna comune.1
,
Solagna – Veduta,Solagna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Stefano Bertoncello (Uniti per Solagna) dal 26-5-2019
Territorio,Territorio
Coordinate,45°49′00.2″N 11°43′05.41″E
Altitudine,131 m s.l.m.
Superficie,"15,81 km²"
Abitanti,1 824[1] (30-11-2025)
Densità,"115,37 ab./km²"
Comuni confinanti,"Bassano del Grappa, Pove del Grappa, Valbrenta"
Altre informazioni,Altre informazioni
Cod. postale,36020
Prefisso,0424
Fuso orario,UTC+1
Codice ISTAT,024101
Cod. catastale,I783
Targa,VI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 476 GG[3]"
Nome abitanti,solagnesi o solagnotti
Patrono,santa Giustina
Giorno festivo,7 ottobre
Cartografia,Cartografia
Solagna,Solagna
Solagna – MappaPosizione del comune di Solagna all'interno della provincia di Vicenza,Solagna – MappaPosizione del comune di Solagna all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
